TIME(HH),TIME(MM),TIME(SS),TIME(ms),X,Y,AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11
0,0,18,439,0,0,-57,-58,-63,-51,-55,-60,-52,-53,-60,-48,-67,-48
0,0,24,536,0,0,-54,-55,-63,-51,-51,-60,-48,-53,-55,-44,-63,-49
0,0,30,669,0,0,-54,-57,-58,-48,-50,-60,-48,-55,-55,-46,-63,-48
0,0,33,738,0,0,-55,-58,-58,-50,-50,-60,-49,-54,-54,-45,-63,-46
0,0,39,846,0,0,-58,-58,-58,-49,-50,-61,-49,-54,-50,-46,-62,-47
0,0,46,15,0,0,-58,-55,-58,-49,-50,-62,-49,-52,-50,-45,-62,-47
0,0,49,59,0,0,-56,-54,-60,-49,-51,-62,-49,-54,-52,-48,-57,-48
0,0,55,155,0,0,-56,-55,-57,-49,-51,-62,-51,-53,-52,-51,-63,-48
0,0,1,318,0,0,-54,-55,-57,-49,-51,-59,-51,-53,-52,-51,-63,-48
0,0,4,371,0,0,-49,-53,-58,-50,-52,-59,-49,-57,-51,-47,-63,-49
0,0,10,488,0,0,-49,-53,-58,-49,-50,-59,-49,-57,-51,-49,-59,-49
0,0,16,603,0,0,-54,-53,-57,-49,-46,-58,-49,-57,-51,-49,-60,-46
0,0,19,659,0,0,-51,-55,-59,-50,-50,-58,-48,-58,-51,-48,-60,-47
0,0,25,778,0,0,-51,-52,-59,-50,-50,-61,-48,-58,-51,-49,-60,-50
0,0,31,932,0,0,-48,-52,-54,-50,-49,-56,-48,-57,-52,-51,-61,-48
0,0,38,54,0,0,-47,-54,-54,-50,-52,-56,-49,-54,-52,-48,-61,-46
0,0,29,6,0,0,-52,-44,-61,-49,-51,-53,-48,-60,-52,-47,-62,-52
0,0,35,144,0,0,-60,-52,-61,-49,-51,-53,-36,-58,-55,-46,-64,-46
0,0,41,265,0,0,-51,-52,-61,-49,-51,-53,-48,-58,-53,-46,-63,-46
0,0,47,387,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,50,448,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,53,516,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
0,0,56,574,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
0,0,59,655,0,0,-54,-54,-63,-50,-51,-54,-48,-58,-49,-48,-61,-48
0,0,2,675,0,0,-51,-50,-63,-49,-51,-54,-49,-56,-55,-48,-61,-46
0,0,8,794,0,0,-51,-52,-60,-49,-51,-54,-50,-55,-55,-52,-64,-44
0,0,14,923,0,0,-53,-53,-62,-49,-51,-54,-50,-51,-54,-47,-61,-44
0,0,17,988,0,0,-51,-53,-64,-49,-51,-54,-48,-55,-56,-49,-61,-46
0,0,24,109,0,0,-47,-52,-60,-48,-50,-54,-48,-55,-52,-49,-62,-46
0,0,30,240,0,0,-46,-51,-60,-49,-51,-54,-47,-54,-55,-48,-63,-45
0,0,33,299,0,0,-48,-49,-62,-48,-51,-54,-48,-54,-52,-48,-63,-48
0,0,29,6,0,0,-52,-44,-61,-49,-51,-53,-48,-60,-52,-47,-62,-52
0,0,35,144,0,0,-60,-52,-61,-49,-51,-53,-36,-58,-55,-46,-64,-46
0,0,41,265,0,0,-51,-52,-61,-49,-51,-53,-48,-58,-53,-46,-63,-46
0,0,47,387,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,50,448,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,53,516,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
0,0,56,574,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
0,0,59,655,0,0,-54,-54,-63,-50,-51,-54,-48,-58,-49,-48,-61,-48
0,0,2,675,0,0,-51,-50,-63,-49,-51,-54,-49,-56,-55,-48,-61,-46
0,0,8,794,0,0,-51,-52,-60,-49,-51,-54,-50,-55,-55,-52,-64,-44
0,0,14,923,0,0,-53,-53,-62,-49,-51,-54,-50,-51,-54,-47,-61,-44
0,0,17,988,0,0,-51,-53,-64,-49,-51,-54,-48,-55,-56,-49,-61,-46
0,0,24,109,0,0,-47,-52,-60,-48,-50,-54,-48,-55,-52,-49,-62,-46
0,0,30,240,0,0,-46,-51,-60,-49,-51,-54,-47,-54,-55,-48,-63,-45
0,0,33,299,0,0,-48,-49,-62,-48,-51,-54,-48,-54,-52,-48,-63,-48
0,0,29,6,0,0,-52,-44,-61,-49,-51,-53,-48,-60,-52,-47,-62,-52
0,0,35,144,0,0,-60,-52,-61,-49,-51,-53,-36,-58,-55,-46,-64,-46
0,0,41,265,0,0,-51,-52,-61,-49,-51,-53,-48,-58,-53,-46,-63,-46
0,0,47,387,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,50,448,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,53,516,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
0,0,56,574,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
0,0,59,655,0,0,-54,-54,-63,-50,-51,-54,-48,-58,-49,-48,-61,-48
0,0,2,675,0,0,-51,-50,-63,-49,-51,-54,-49,-56,-55,-48,-61,-46
0,0,8,794,0,0,-51,-52,-60,-49,-51,-54,-50,-55,-55,-52,-64,-44
0,0,14,923,0,0,-53,-53,-62,-49,-51,-54,-50,-51,-54,-47,-61,-44
0,0,17,988,0,0,-51,-53,-64,-49,-51,-54,-48,-55,-56,-49,-61,-46
0,0,24,109,0,0,-47,-52,-60,-48,-50,-54,-48,-55,-52,-49,-62,-46
0,0,30,240,0,0,-46,-51,-60,-49,-51,-54,-47,-54,-55,-48,-63,-45
0,0,33,299,0,0,-48,-49,-62,-48,-51,-54,-48,-54,-52,-48,-63,-48
0,0,29,6,0,0,-52,-44,-61,-49,-51,-53,-48,-60,-52,-47,-62,-52
0,0,35,144,0,0,-60,-52,-61,-49,-51,-53,-36,-58,-55,-46,-64,-46
0,0,41,265,0,0,-51,-52,-61,-49,-51,-53,-48,-58,-53,-46,-63,-46
0,0,47,387,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,50,448,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,53,516,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
0,0,56,574,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
0,0,59,655,0,0,-54,-54,-63,-50,-51,-54,-48,-58,-49,-48,-61,-48
0,0,2,675,0,0,-51,-50,-63,-49,-51,-54,-49,-56,-55,-48,-61,-46
0,0,8,794,0,0,-51,-52,-60,-49,-51,-54,-50,-55,-55,-52,-64,-44
0,0,14,923,0,0,-53,-53,-62,-49,-51,-54,-50,-51,-54,-47,-61,-44
0,0,17,988,0,0,-51,-53,-64,-49,-51,-54,-48,-55,-56,-49,-61,-46
0,0,24,109,0,0,-47,-52,-60,-48,-50,-54,-48,-55,-52,-49,-62,-46
0,0,30,240,0,0,-46,-51,-60,-49,-51,-54,-47,-54,-55,-48,-63,-45
0,0,33,299,0,0,-48,-49,-62,-48,-51,-54,-48,-54,-52,-48,-63,-48
0,0,29,6,0,0,-52,-44,-61,-49,-51,-53,-48,-60,-52,-47,-62,-52
0,0,35,144,0,0,-60,-52,-61,-49,-51,-53,-36,-58,-55,-46,-64,-46
0,0,41,265,0,0,-51,-52,-61,-49,-51,-53,-48,-58,-53,-46,-63,-46
0,0,47,387,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,50,448,0,0,-48,-54,-61,-50,-51,-54,-50,-56,-52,-36,-62,-45
0,0,53,516,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
0,0,56,574,0,0,-52,-33,-61,-50,-50,-54,-49,-57,-52,-49,-61,-46
